cin,name,status,roc
L65922WB1991PLC053768,NIPTON HOUSING FINACNE & INVESTMENT COMPANY LTD,Strike Off,RoC-Kolkata
L65922WB1992PLC057139,MAGNUM CONCLAVE FINANCE & INVESTMENT LTD.,Strike Off,RoC-Kolkata
L65922WB1993PLC060223,LANCY HOUSING FINANCIAL SERVICES LTD.,Strike Off,RoC-Kolkata
L65923MH1995PLC090379,ENKAY FINANCE LIMITED,Strike Off,RoC-Mumbai
L65923WB1980PLC032910,DHAVANTI INVESTMENT LTD,Strike Off,RoC-Kolkata
L65923WB1990PLC048908,MANALI FISCAL SERVICES LTD.,Strike Off,RoC-Kolkata
L65923WB1991PLC053161,TARUCHAYA GENERAL FINANCE & INVESTMENT COMPANY LTD.,Strike Off,RoC-Kolkata
L65929WB1974PLC029262,SOMANI SWISS INDUSTRIES LIMITED,Strike Off,RoC-Kolkata
L65929WB1997PLC082640,ENPRO ESTATES LIMITED,Strike Off,RoC-Kolkata
L65990MH1981PLC024089,SIBLEY INVESTMENT COMPANY,Strike Off,RoC-Mumbai
L65990MH1994PLC081963,RADIL CAPITAL AND FINANCE LIMITED,Strike Off,RoC-Mumbai
L65990MH1995PLC088607,ANDROMEDA HOLDINGS LIMITED,Strike Off,RoC-Mumbai
L65990MH1995PLC089375,SUBHASH CAPITAL AND FINANCE LIMITED,Strike Off,RoC-Mumbai
L65990MH1995PLC090901,ZARNA INVESTMENTS LIMITED,Strike Off,RoC-Mumbai
L65990MH1995PLC092809,BATRA GULATI FINANCE AND INVESTMENTS LIMITED,Strike Off,RoC-Mumbai
L65990MH1996PLC096833,FALAK FINANCE AND INVESTMENT COMPANY LIMITED,Strike Off,RoC-Mumbai
L65990MH1996PLC098692,MONEYLINE CAPITAL SERVICES LIMITED,Strike Off,RoC-Mumbai
L65990MH1996PLC099924,CHAMPION CAPITAL MANAGEMENT AND FINANCELIMITED,Strike Off,RoC-Mumbai
L65990MH1996PLC101375,HEGDE'S FINANCE & INVESTMENTS LIMITED,Strike Off,RoC-Mumbai
L65990MH1997PLC106955,AMEYA PRABHU FINANCE LIMITED,Strike Off,RoC-Mumbai
L65991WB1992PLC055918,CENTURY FINTECH LTD.,Strike Off,RoC-Kolkata
L65991WB1996PLC081360,BELLS CONTROLS FINANCE LIMITED,Strike Off,RoC-Kolkata
L65992WB1993PLC057550,SIKHAR FINVEST & CREDIT COMPANY LTD.,Strike Off,RoC-Kolkata
L65993WB1914PLC019551,COOCH BEHAR BANKING CORPN LTD,Strike Off,RoC-Kolkata
L65993WB1974PLC029392,ZODIAC INVESTMENTS LTD,Strike Off,RoC-Kolkata
